"Dato";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"29.09.2023";"02000227660012809232";"49,25";"25.052,00";"Udført";"Nej"
"29.09.2023";"Gebyrer ifølge nota";"-76,00";"24.976,00";"Udført";"Nej"
"09.10.2023";"Simply.com";"-675,00";"24.301,00";"Udført";"Nej"
"30.10.2023";"Vespa";"-3.465,00";"20.836,00";"Udført";"Nej"
"10.11.2023";"02000227660010911232";"1.113,84";"21.949,84";"Udført";"Nej"
"11.11.2023";"02000227660011011238";"990,08";"22.939,92";"Udført";"Nej"
"12.11.2023";"02000227660011111235";"495,04";"23.434,96";"Udført";"Nej"
"13.11.2023";"02000227660011211232";"247,52";"23.682,48";"Udført";"Nej"
"14.11.2023";"02000227660011311239";"247,52";"23.930,00";"Udført";"Nej"
"16.11.2023";"02000227660011511233";"247,52";"24.177,52";"Udført";"Nej"
"17.11.2023";"02000227660011611230";"495,04";"24.672,56";"Udført";"Nej"
"20.11.2023";"02000227660011911231";"495,04";"25.167,60";"Udført";"Nej"
"21.11.2023";"02000227660012011237";"123,76";"25.291,36";"Udført";"Nej"
"22.11.2023";"02000227660012111234";"346,53";"25.637,89";"Udført";"Nej"
"22.11.2023";"Stripe Technology Eu";"96,70";"25.734,59";"Udført";"Nej"
"23.11.2023";"02000227660012211231";"742,56";"26.477,15";"Udført";"Nej"
"24.11.2023";"02000227660012311238";"495,04";"26.972,19";"Udført";"Nej"
"25.11.2023";"02000227660012411235";"247,52";"27.219,71";"Udført";"Nej"
"27.11.2023";"02000227660012611239";"495,04";"27.714,75";"Udført";"Nej"
"28.11.2023";"02000227660012711236";"247,52";"27.962,27";"Udført";"Nej"
"30.11.2023";"02000227660012911230";"346,53";"28.308,80";"Udført";"Nej"
"01.12.2023";"02000227660013011236";"2.227,68";"30.536,48";"Udført";"Nej"
"02.12.2023";"02000227660010112235";"495,04";"31.031,52";"Udført";"Nej"
"06.12.2023";"02000227660010512233";"99,01";"31.130,53";"Udført";"Nej"
"07.12.2023";"02000227660010612230";"198,02";"31.328,55";"Udført";"Nej"
"10.12.2023";"02000227660010912231";"99,01";"31.427,56";"Udført";"Nej"
"10.12.2023";"Faglig aften - Udgifter";"-978,20";"30.449,36";"Udført";"Nej"
"10.12.2023";"Betaling - Julefrokost udgi...";"-1.522,30";"28.927,06";"Udført";"Nej"
"19.12.2023";"Udlæg - Julefrokost - Patrick";"-357,00";"28.570,06";"Udført";"Nej"
"19.12.2023";"Betaling - Julefrokost udgi...";"-266,30";"28.303,76";"Udført";"Nej"
"20.12.2023";"Intrum A/S";"-302,00";"28.001,76";"Udført";"Nej"
"29.12.2023";"Gebyrer ifølge nota";"-252,00";"27.749,76";"Udført";"Nej"
"02.01.2024";"Øl til julefrokost - Overfø...";"-2.995,00";"24.754,76";"Udført";"Nej"
"02.01.2024";"Ting til julefrokost - Over...";"-589,80";"24.164,96";"Udført";"Nej"
"10.01.2024";"Afholdes af julefrokost 9/1...";"-19.250,00";"4.914,96";"Udført";"Nej"
"12.02.2024";"20240101";"6.250,00";"11.164,96";"Udført";"Nej"
"12.02.2024";"02000227660011102244";"1.584,16";"12.749,12";"Udført";"Nej"
"13.02.2024";"02000227660011202241";"1.980,20";"14.729,32";"Udført";"Nej"
"14.02.2024";"02000227660011302248";"198,02";"14.927,34";"Udført";"Nej"
"14.02.2024";"Stripe Technology Eu";"96,70";"15.024,04";"Udført";"Nej"
"15.02.2024";"02000227660011402245";"297,03";"15.321,07";"Udført";"Nej"
"17.02.2024";"02000227660011602249";"594,06";"15.915,13";"Udført";"Nej"
"18.02.2024";"02000227660011702246";"99,01";"16.014,14";"Udført";"Nej"
"19.02.2024";"02000227660011802243";"99,01";"16.113,15";"Udført";"Nej"
"19.02.2024";"Stripe Technology Eu";"96,70";"16.209,85";"Udført";"Nej"
"20.02.2024";"Stripe Technology Eu";"97,00";"16.306,85";"Udført";"Nej"
"21.02.2024";"Stripe Technology Eu";"96,70";"16.403,55";"Udført";"Nej"
"24.02.2024";"02000227660012302247";"99,01";"16.502,56";"Udført";"Nej"
"25.02.2024";"02000227660012402244";"99,01";"16.601,57";"Udført";"Nej"
"27.02.2024";"02000227660012602248";"99,01";"16.700,58";"Udført";"Nej"
"01.03.2024";"02000227660012902249";"198,02";"16.898,60";"Udført";"Nej"
"02.03.2024";"02000227660010103244";"99,01";"16.997,61";"Udført";"Nej"
"06.03.2024";"02000227660010503242";"99,01";"17.096,62";"Udført";"Nej"
"08.03.2024";"02000227660010703246";"99,01";"17.195,63";"Udført";"Nej"
"09.03.2024";"02000227660010803243";"198,02";"17.393,65";"Udført";"Nej"
"11.03.2024";"Mad til generalforsamling";"-1.337,00";"16.056,65";"Udført";"Nej"
"18.03.2024";"Stripe Technology Eu";"96,70";"16.153,35";"Udført";"Nej"
"29.03.2024";"Gebyrer ifølge nota";"-253,00";"15.900,35";"Udført";"Nej"
"11.04.2024";"GamMa Hyttetur Alex 19/7-21/7";"-2.900,00";"13.000,35";"Udført";"Nej"
"12.04.2024";"02000227660011104242";"1.287,12";"14.287,47";"Udført";"Nej"
"13.04.2024";"02000227660011204249";"321,78";"14.609,25";"Udført";"Nej"
"14.04.2024";"02000227660011304246";"1.336,63";"15.945,88";"Udført";"Nej"
"15.04.2024";"02000227660011404243";"321,78";"16.267,66";"Udført";"Nej"
"16.04.2024";"02000227660011504240";"321,78";"16.589,44";"Udført";"Nej"
"24.04.2024";"02000227660012304245";"321,78";"16.911,22";"Udført";"Nej"
"12.05.2024";"02000227660011105241";"321,78";"17.233,00";"Udført";"Nej"
"30.05.2024";"02000227660012905246";"321,78";"17.554,78";"Udført";"Nej"
"04.06.2024";"Stripe Technology Eu";"193,40";"17.748,18";"Udført";"Nej"
"05.06.2024";"02000227660010406242";"99,01";"17.847,19";"Udført";"Nej"
"08.06.2024";"02000227660010706243";"965,34";"18.812,53";"Udført";"Nej"
"16.06.2024";"02000227660011506248";"198,02";"19.010,55";"Udført";"Nej"
"28.06.2024";"Gebyrer ifølge nota";"-253,00";"18.757,55";"Udført";"Nej"
